C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-200503;VPI-0;236,40000
VPIZR-200504;VPI-0;235,70000
VPIZR-200505;VPI-0;236,10000
VPIZR-200506;VPI-0;237,00000
VPIZR-200507;VPI-0;236,40000
VPIZR-200508;VPI-0;236,80000
VPIZR-200509;VPI-0;237,60000
VPIZR-200510;VPI-0;237,60000
VPIZR-200511;VPI-0;237,20000
VPIZR-200512;VPI-0;238,10000
VPIZR-2005;VPI-0;236,60000
VPIZR-200601;VPI-0;237,50000
VPIZR-200602;VPI-0;238,30000
VPIZR-200603;VPI-0;239,00000
VPIZR-200604;VPI-0;240,10000
VPIZR-200605;VPI-0;240,40000
VPIZR-200606;VPI-0;240,60000
VPIZR-200607;VPI-0;240,40000
VPIZR-200608;VPI-0;241,10000
VPIZR-200609;VPI-0;240,60000
VPIZR-200610;VPI-0;240,40000
VPIZR-200611;VPI-0;240,60000
VPIZR-200612;VPI-0;241,30000
VPIZR-2006;VPI-0;240,00000
VPIZR-200701;VPI-0;241,30000
VPIZR-200702;VPI-0;242,00000
VPIZR-200703;VPI-0;243,20000
VPIZR-200704;VPI-0;244,40000
VPIZR-200705;VPI-0;245,10000
VPIZR-200706;VPI-0;245,40000
VPIZR-200707;VPI-0;245,40000
VPIZR-200708;VPI-0;245,10000
VPIZR-200709;VPI-0;245,60000
VPIZR-200710;VPI-0;247,00000
VPIZR-200711;VPI-0;248,20000
VPIZR-200712;VPI-0;250,10000
VPIZR-2007;VPI-0;245,20000
VPIZR-200801;VPI-0;249,10000
VPIZR-200802;VPI-0;249,80000
VPIZR-200803;VPI-0;251,70000
VPIZR-200804;VPI-0;252,50000
VPIZR-200805;VPI-0;254,10000
VPIZR-200806;VPI-0;254,80000
VPIZR-200807;VPI-0;254,60000
VPIZR-200808;VPI-0;254,10000
VPIZR-200809;VPI-0;254,80000
VPIZR-200810;VPI-0;254,60000
VPIZR-200811;VPI-0;253,90000
VPIZR-200812;VPI-0;253,40000
VPIZR-2008;VPI-0;253,10000
VPIZR-200901;VPI-0;252,20000
VPIZR-200902;VPI-0;253,20000
VPIZR-200903;VPI-0;253,60000
VPIZR-200904;VPI-0;254,10000
VPIZR-200905;VPI-0;254,80000
VPIZR-200906;VPI-0;254,60000
VPIZR-200907;VPI-0;253,90000
VPIZR-200908;VPI-0;254,80000
VPIZR-200909;VPI-0;255,10000
VPIZR-200910;VPI-0;255,10000
VPIZR-200911;VPI-0;255,50000
VPIZR-200912;VPI-0;256,00000
VPIZR-2009;VPI-0;254,40000
VPIZR-201001;VPI-0;255,30000
VPIZR-201002;VPI-0;255,80000
VPIZR-201003;VPI-0;258,60000
VPIZR-201004;VPI-0;259,30000
VPIZR-201005;VPI-0;259,60000
VPIZR-201006;VPI-0;259,60000
VPIZR-201007;VPI-0;258,60000
VPIZR-201008;VPI-0;259,10000
VPIZR-201009;VPI-0;259,80000
VPIZR-201010;VPI-0;260,50000
VPIZR-201011;VPI-0;260,30000
VPIZR-201012;VPI-0;261,90000
VPIZR-2010;VPI-0;259,00000
VPIZR-201101;VPI-0;261,60000
VPIZR-201102;VPI-0;263,40000
VPIZR-201103;VPI-0;266,50000
VPIZR-201104;VPI-0;267,80000
VPIZR-201105;VPI-0;268,10000
VPIZR-201106;VPI-0;268,10000
VPIZR-201107;VPI-0;267,50000
VPIZR-201108;VPI-0;268,10000
VPIZR-201109;VPI-0;269,10000
VPIZR-201110;VPI-0;269,40000
VPIZR-201111;VPI-0;269,60000
VPIZR-201112;VPI-0;270,10000
VPIZR-2011;VPI-0;267,40000
VPIZR-201201;VPI-0;268,80000
VPIZR-201202;VPI-0;270,10000
VPIZR-201203;VPI-0;273,00000
VPIZR-201204;VPI-0;274,00000
VPIZR-201205;VPI-0;273,80000
VPIZR-201206;VPI-0;274,00000
VPIZR-201207;VPI-0;273,20000
VPIZR-201208;VPI-0;274,00000
VPIZR-201209;VPI-0;276,40000
VPIZR-201210;VPI-0;276,90000
VPIZR-201211;VPI-0;277,10000
VPIZR-201212;VPI-0;277,60000
VPIZR-2012;VPI-0;274,10000
VPIZR-201301;VPI-0;276,10000
VPIZR-201302;VPI-0;276,90000
VPIZR-201303;VPI-0;279,20000
VPIZR-201304;VPI-0;279,50000
VPIZR-201305;VPI-0;280,00000
VPIZR-201306;VPI-0;280,00000
VPIZR-201307;VPI-0;278,70000
VPIZR-201308;VPI-0;278,90000
VPIZR-201309;VPI-0;281,00000
VPIZR-201310;VPI-0;280,80000
VPIZR-201311;VPI-0;281,00000
VPIZR-201312;VPI-0;282,80000
VPIZR-2013;VPI-0;279,60000
VPIZR-201401;VPI-0;280,50000
VPIZR-201402;VPI-0;281,00000
VPIZR-201403;VPI-0;283,90000
VPIZR-201404;VPI-0;284,10000
VPIZR-201405;VPI-0;284,90000
VPIZR-201406;VPI-0;285,20000
VPIZR-201407;VPI-0;283,60000
VPIZR-201408;VPI-0;283,60000
VPIZR-201409;VPI-0;285,40000
VPIZR-201410;VPI-0;285,20000
VPIZR-201411;VPI-0;285,70000
VPIZR-201412;VPI-0;285,70000
VPIZR-2014;VPI-0;284,10000
VPIZR-201501;VPI-0;282,60000
VPIZR-201502;VPI-0;283,30000
VPIZR-201503;VPI-0;286,70000
VPIZR-201504;VPI-0;287,00000
VPIZR-201505;VPI-0;287,70000
VPIZR-201506;VPI-0;288,00000
VPIZR-201507;VPI-0;287,00000
VPIZR-201508;VPI-0;286,50000
VPIZR-201509;VPI-0;287,50000
VPIZR-201510;VPI-0;287,20000
VPIZR-201511;VPI-0;287,50000
VPIZR-201512;VPI-0;288,50000
VPIZR-2015;VPI-0;286,60000
VPIZR-201601;VPI-0;286,00000
VPIZR-201602;VPI-0;286,30000
VPIZR-201603;VPI-0;288,60000
VPIZR-201604;VPI-0;288,60000
VPIZR-201605;VPI-0;289,50000
VPIZR-201606;VPI-0;289,80000
VPIZR-201607;VPI-0;288,60000
VPIZR-201608;VPI-0;288,00000
VPIZR-201609;VPI-0;290,00000
VPIZR-201610;VPI-0;290,90000
VPIZR-201611;VPI-0;291,20000
VPIZR-201612;VPI-0;292,60000
VPIZR-2016;VPI-0;289,20000
VPIZR-201701;VPI-0;291,80000
VPIZR-201702;VPI-0;292,60000
VPIZR-201703;VPI-0;294,10000
VPIZR-201704;VPI-0;294,60000
VPIZR-201705;VPI-0;294,90000
VPIZR-201706;VPI-0;295,20000
VPIZR-201707;VPI-0;294,30000
VPIZR-201708;VPI-0;294,10000
VPIZR-201709;VPI-0;296,90000
VPIZR-201710;VPI-0;297,20000
VPIZR-201711;VPI-0;297,80000
VPIZR-201712;VPI-0;298,90000
VPIZR-2017;VPI-0;295,20000
VPIZR-201801;VPI-0;296,90000
VPIZR-201802;VPI-0;297,80000
VPIZR-201803;VPI-0;299,50000
VPIZR-201804;VPI-0;300,10000
VPIZR-201805;VPI-0;300,60000
VPIZR-201806;VPI-0;301,20000
VPIZR-201807;VPI-0;300,60000
VPIZR-201808;VPI-0;300,60000
VPIZR-201809;VPI-0;302,90000
VPIZR-201810;VPI-0;303,80000
VPIZR-201811;VPI-0;304,40000
VPIZR-201812;VPI-0;304,70000
VPIZR-2018;VPI-0;301,10000
VPIZR-201901;VPI-0;302,40000
VPIZR-201902;VPI-0;302,40000
VPIZR-201903;VPI-0;304,90000
VPIZR-201904;VPI-0;305,20000
VPIZR-201905;VPI-0;305,80000
VPIZR-201906;VPI-0;306,10000
VPIZR-201907;VPI-0;304,90000
